entryId,contentfulName,title,currentSectionVariant,suggestedSectionVariant,status,usedOnPages,contentfulAdminUrl,notes
"7i40nqvbctpoR0ZZHvyOAc","SECCION - Ingenieria y construcción","Lorem Ipsum","sector-companies","sector-companies","already-set","/sectores/ingenieria-y-construccion","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/7i40nqvbctpoR0ZZHvyOAc","Legacy inference would use ""business-ecosystem"" instead."
"58iZX31biQWRcnANlK2dTV","SECCION - La banca que conecta personas, empresas y comunidades","La banca que conecta personas, empresas y comunidades","banking-connect","banking-connect","already-set","/sectores/banca","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/58iZX31biQWRcnANlK2dTV",""
"4TWKDgzdYfBd2Ew0d4Bpks","SECCION - Los inicios","Los inicios","default","default","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4TWKDgzdYfBd2Ew0d4Bpks",""
"2YR5ViIyT0H4lAsTH0aogl","SECCION - Mineria","Lorem ipsum","sector-companies","sector-companies","already-set","/sectores/mineria","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/2YR5ViIyT0H4lAsTH0aogl","Legacy inference would use ""business-ecosystem"" instead."
"3XYsyC6GyVP9l2ZICbumca","SECCION - Noticias Como generamos impacto","Cómo generamos impacto","image-overlay-grid","image-overlay-grid","already-set","/noticias","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3XYsyC6GyVP9l2ZICbumca",""
"1ApLVGRKiHC7jVuEVrH6mz","SECCION - Nuestro compromiso con el desarrollo regional","Desarrollo regional con visión de largo plazo.","regional-economies-commitment","regional-economies-commitment","already-set","/economias-regionales","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/1ApLVGRKiHC7jVuEVrH6mz",""
"4GeVZ2GZ6IZwKbIHfrf9DI","SECCION - NUESTRO COMPROMISO CON LA COMUNIDAD","Nuestro compromiso con la comunidad","image-overlay-grid","image-overlay-grid","already-set","/inicio","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4GeVZ2GZ6IZwKbIHfrf9DI",""
"3mhXmN7CTDaWTAbVmuTes4","SECCION - Nuestro ecosistema empresarial","Nuestro ecosistema empresarial","business-ecosystem","business-ecosystem","already-set","/inicio","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/3mhXmN7CTDaWTAbVmuTes4",""
"LfQ1BwrI5e4mNwsIe9YCO","SECCION - Nuestro propósito","Nuestro propósito","bordered-grid","bordered-grid","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/LfQ1BwrI5e4mNwsIe9YCO",""
"2IQ9nkv4obNFrluWZxvlbT","SECCION - Producción con visión de futuro","Producción con visión de futuro","sector-companies","sector-companies","already-set","/sectores/produccion-vitivinicola","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/2IQ9nkv4obNFrluWZxvlbT","Legacy inference would use ""business-ecosystem"" instead."
"2ZhbzHXlFxGaAIDhNGMkIW","SECCION - PROGRAMAS QUE IMPULSAN EL DESARROLLO","Programas que impulsan el desarrollo","programs-development","programs-development","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/2ZhbzHXlFxGaAIDhNGMkIW",""
"7ik9ePxUZue64ADrxFnNRE","SECCION - Sectores estrategicos","Sectores estratégicos","strategic-sectors","strategic-sectors","already-set","/economias-regionales","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/7ik9ePxUZue64ADrxFnNRE",""
"4dZikz4pjbrF4j3WzLcvrd","SECCION - Seguros","Lorem ipsum","sector-companies","sector-companies","already-set","/sectores/seguros","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4dZikz4pjbrF4j3WzLcvrd","Legacy inference would use ""business-ecosystem"" instead."
"6CptRJZGprU5CRUlClPN7Q","SECCION - Soluciones de Pago","Lorem ipsum","sector-companies","sector-companies","already-set","/sectores/soluciones-de-pago","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/6CptRJZGprU5CRUlClPN7Q","Legacy inference would use ""business-ecosystem"" instead."
"1z3T7cbSGoU90MBVPgQUWG","SECCION - Talento y Cultura","Talento y cultura","talent-culture","talent-culture","already-set","/quienes-somos","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/1z3T7cbSGoU90MBVPgQUWG",""
"5NCMKR44EKZnhyLxbyEsQS","SECCION - Tecnología Financiera","Lorem ipsum","sector-companies","sector-companies","already-set","/sectores/tecnologia-financiera","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/5NCMKR44EKZnhyLxbyEsQS","Legacy inference would use ""business-ecosystem"" instead."
"6Mc6P1lnSs7V8hMKsn91HI","SECCION - Ultimas dinamicas presenciales (video embebido)","Últimas dinámicas presenciales","in-person-dynamics","in-person-dynamics","already-set","/noticias","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/6Mc6P1lnSs7V8hMKsn91HI",""
"4u7FlUd6NNFbpRpJTqrlJq","SECCION - Un compromiso que atraviesa todo el grupo","Un compromiso que atraviesa todo el Grupo","default","default","already-set","/nuestro-impacto","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/4u7FlUd6NNFbpRpJTqrlJq",""
"AMmhKiTyOePfr2bEltKpr","SECCION - VISTA NOTICIA - MAS SOBRE EL GRUPO","Más sobre el Grupo Petersen","news-detail-more-about-group","news-detail-more-about-group","already-set","","https://app.contentful.com/spaces/jp6bg6rq84t7/environments/develop-v2/entries/AMmhKiTyOePfr2bEltKpr",""
